관광지명,관광지유형,소재지도로명주소,소재지지번주소,위도,경도,text
은하감귤체험농장,과실재배,제주특별자치도 서귀포시 안덕면 덕수서로 250,제주특별자치도 서귀포시 안덕면 덕수리 1700,33.27249876,126.3045463,"은하감귤체험농장는 과실재배입니다. 주소는 제주특별자치도 서귀포시 안덕면 덕수리 1700이며, 위도는 33.27249876이고, 경도는 126.3045463입니다."
감귤밭미즈허팜,과실재배,제주특별자치도 서귀포시 안덕면 덕수동로 93,제주특별자치도 서귀포시 안덕면 덕수리 1115,33.26166515,126.3141515,"감귤밭미즈허팜는 과실재배입니다. 주소는 제주특별자치도 서귀포시 안덕면 덕수리 1115이며, 위도는 33.26166515이고, 경도는 126.3141515입니다."
미령이네,관광농원,제주특별자치도 서귀포시 안덕면 덕수서로 123,제주특별자치도 서귀포시 안덕면 덕수리 2107-8,33.26129007,126.3042515,"미령이네는 관광농원입니다. 주소는 제주특별자치도 서귀포시 안덕면 덕수리 2107-8이며, 위도는 33.26129007이고, 경도는 126.3042515입니다."
마노르블랑,식물원,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46,제주특별자치도 서귀포시 안덕면 덕수리 2952,33.25481842,126.2949881,"마노르블랑는 식물원입니다. 주소는 제주특별자치도 서귀포시 안덕면 덕수리 2952이며, 위도는 33.25481842이고, 경도는 126.2949881입니다."
하영담아감귤농장,유기농산물,제주특별자치도 서귀포시 안덕면 덕수서로 45,제주특별자치도 서귀포시 안덕면 덕수리 2263-2,33.25428671,126.3046396,"하영담아감귤농장는 유기농산물입니다. 주소는 제주특별자치도 서귀포시 안덕면 덕수리 2263-2이며, 위도는 33.25428671이고, 경도는 126.3046396입니다."
루나폴,테마파크,제주특별자치도 서귀포시 안덕면 일주서로 1836,제주특별자치도 서귀포시 안덕면 덕수리 산 27,33.25413388,126.3222747,"루나폴는 테마파크입니다. 주소는 제주특별자치도 서귀포시 안덕면 덕수리 산 27이며, 위도는 33.25413388이고, 경도는 126.3222747입니다."
제주아트서커스,공연장,제주특별자치도 서귀포시 안덕면 동광로 214,제주특별자치도 서귀포시 안덕면 동광리 886,33.31437865,126.3448081,"제주아트서커스는 공연장입니다. 주소는 제주특별자치도 서귀포시 안덕면 동광리 886이며, 위도는 33.31437865이고, 경도는 126.3448081입니다."
무등이왓터,문화유적지,제주특별자치도 서귀포시 안덕면 신화역사로586번길 21-7,제주특별자치도 서귀포시 안덕면 동광리 233-1,33.30942864,126.3520825,"무등이왓터는 문화유적지입니다. 주소는 제주특별자치도 서귀포시 안덕면 동광리 233-1이며, 위도는 33.30942864이고, 경도는 126.3520825입니다."
삼밭구석,문화유적지,,제주특별자치도 서귀포시 안덕면 동광리 1396,33.30995135,126.3307772,"삼밭구석는 문화유적지입니다. 주소는 제주특별자치도 서귀포시 안덕면 동광리 1396이며, 위도는 33.30995135이고, 경도는 126.3307772입니다."
토이파크,박물관,제주특별자치도 서귀포시 안덕면 동광로 267-7,제주특별자치도 서귀포시 안덕면 동광리 383,33.31895498,126.3453645,"토이파크는 박물관입니다. 주소는 제주특별자치도 서귀포시 안덕면 동광리 383이며, 위도는 33.31895498이고, 경도는 126.3453645입니다."
조은승마장,승마장,제주특별자치도 서귀포시 안덕면 동광로 265-14,제주특별자치도 서귀포시 안덕면 동광리 897-2,33.3182399,126.3448302,"조은승마장는 승마장입니다. 주소는 제주특별자치도 서귀포시 안덕면 동광리 897-2이며, 위도는 33.3182399이고, 경도는 126.3448302입니다."
당오름,오름,,제주특별자치도 서귀포시 안덕면 동광리 산 68-1,33.33409324,126.3356543,"당오름는 오름입니다. 주소는 제주특별자치도 서귀포시 안덕면 동광리 산 68-1이며, 위도는 33.33409324이고, 경도는 126.3356543입니다."
원물오름,오름,,제주특별자치도 서귀포시 안덕면 동광리 산 41,33.32320578,126.3448844,"원물오름는 오름입니다. 주소는 제주특별자치도 서귀포시 안덕면 동광리 산 41이며, 위도는 33.32320578이고, 경도는 126.3448844입니다."
거린오름,오름,,제주특별자치도 서귀포시 안덕면 동광리 산 94,33.30313462,126.3319271,"거린오름는 오름입니다. 주소는 제주특별자치도 서귀포시 안덕면 동광리 산 94이며, 위도는 33.30313462이고, 경도는 126.3319271입니다."
밝은오름,오름,,제주특별자치도 서귀포시 안덕면 동광리 736,33.30126738,126.3414677,"밝은오름는 오름입니다. 주소는 제주특별자치도 서귀포시 안덕면 동광리 736이며, 위도는 33.30126738이고, 경도는 126.3414677입니다."
감낭오름,오름,,제주특별자치도 서귀포시 안덕면 동광리 산 41,33.32491736,126.3501824,"감낭오름는 오름입니다. 주소는 제주특별자치도 서귀포시 안덕면 동광리 산 41이며, 위도는 33.32491736이고, 경도는 126.3501824입니다."
북오름,오름,,제주특별자치도 서귀포시 안덕면 동광리 산 93,33.30627296,126.3320643,"북오름는 오름입니다. 주소는 제주특별자치도 서귀포시 안덕면 동광리 산 93이며, 위도는 33.30627296이고, 경도는 126.3320643입니다."
제주커피수목원,관광농원,,제주특별자치도 서귀포시 안덕면 사계리 3136,33.23855212,126.2872649,"제주커피수목원는 관광농원입니다. 주소는 제주특별자치도 서귀포시 안덕면 사계리 3136이며, 위도는 33.23855212이고, 경도는 126.2872649입니다."
대정향교,문화유적지,제주특별자치도 서귀포시 안덕면 향교로 165-17,제주특별자치도 서귀포시 안덕면 사계리 3126-1,33.23954804,126.2883834,"대정향교는 문화유적지입니다. 주소는 제주특별자치도 서귀포시 안덕면 사계리 3126-1이며, 위도는 33.23954804이고, 경도는 126.2883834입니다."
산방굴사,문화유적지,제주특별자치도 서귀포시 안덕면 산방로 218-12,제주특별자치도 서귀포시 안덕면 사계리 3693,33.2379626,126.3130893,"산방굴사는 문화유적지입니다. 주소는 제주특별자치도 서귀포시 안덕면 사계리 3693이며, 위도는 33.2379626이고, 경도는 126.3130893입니다."
형제섬,섬,,제주특별자치도 서귀포시 안덕면 사계리 산 44,33.21000356,126.3143429,"형제섬는 섬입니다. 주소는 제주특별자치도 서귀포시 안덕면 사계리 산 44이며, 위도는 33.21000356이고, 경도는 126.3143429입니다."
형제해안로전망대,전망대,제주특별자치도 서귀포시 안덕면 형제해안로 26,제주특별자치도 서귀포시 안덕면 사계리 2147-13,33.22784929,126.3038673,"형제해안로전망대는 전망대입니다. 주소는 제주특별자치도 서귀포시 안덕면 사계리 2147-13이며, 위도는 33.22784929이고, 경도는 126.3038673입니다."
용머리하멜상선전시관,전시관,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-30,제주특별자치도 서귀포시 안덕면 사계리 116-7,33.23330914,126.3137051,"용머리하멜상선전시관는 전시관입니다. 주소는 제주특별자치도 서귀포시 안덕면 사계리 116-7이며, 위도는 33.23330914이고, 경도는 126.3137051입니다."
산방산 랜드,테마파크,,제주특별자치도 서귀포시 안덕면 사계리 117-2,33.23379167,126.311695,"산방산 랜드는 테마파크입니다. 주소는 제주특별자치도 서귀포시 안덕면 사계리 117-2이며, 위도는 33.23379167이고, 경도는 126.311695입니다."
용머리해안,해수욕장,,제주특별자치도 서귀포시 안덕면 사계리 112-3,33.23166941,126.3147424,"용머리해안는 해수욕장입니다. 주소는 제주특별자치도 서귀포시 안덕면 사계리 112-3이며, 위도는 33.23166941이고, 경도는 126.3147424입니다."
사계해변,해수욕장,,제주특별자치도 서귀포시 안덕면 사계리 2032-51,33.22867589,126.3086052,"사계해변는 해수욕장입니다. 주소는 제주특별자치도 서귀포시 안덕면 사계리 2032-51이며, 위도는 33.22867589이고, 경도는 126.3086052입니다."
파더스가든,관광농원,제주특별자치도 서귀포시 안덕면 병악로 44-33,제주특별자치도 서귀포시 안덕면 상창리 804,33.27994772,126.3657545,"파더스가든는 관광농원입니다. 주소는 제주특별자치도 서귀포시 안덕면 상창리 804이며, 위도는 33.27994772이고, 경도는 126.3657545입니다."
낭만농장 귤밭76번지,관광농원,제주특별자치도 서귀포시 안덕면 병악로 76,제주특별자치도 서귀포시 안덕면 상창리 906,33.28304844,126.3651497,"낭만농장 귤밭76번지는 관광농원입니다. 주소는 제주특별자치도 서귀포시 안덕면 상창리 906이며, 위도는 33.28304844이고, 경도는 126.3651497입니다."
로빈맘금귤따기,관광농원,제주특별자치도 서귀포시 안덕면 한창로 368,제주특별자치도 서귀포시 안덕면 상창리 1978,33.29239067,126.351473,"로빈맘금귤따기는 관광농원입니다. 주소는 제주특별자치도 서귀포시 안덕면 상창리 1978이며, 위도는 33.29239067이고, 경도는 126.351473입니다."
피규어뮤지엄제주,박물관,제주특별자치도 서귀포시 안덕면 한창로 243,제주특별자치도 서귀포시 안덕면 상창리 1875-8,33.2819835,126.3553138,"피규어뮤지엄제주는 박물관입니다. 주소는 제주특별자치도 서귀포시 안덕면 상창리 1875-8이며, 위도는 33.2819835이고, 경도는 126.3553138입니다."
세계자동차&피아노 박물관,박물관,제주특별자치도 서귀포시 안덕면 중산간서로 1610,제주특별자치도 서귀포시 안덕면 상창리 2065-4,33.28383328,126.3497557,"세계자동차&피아노 박물관는 박물관입니다. 주소는 제주특별자치도 서귀포시 안덕면 상창리 2065-4이며, 위도는 33.28383328이고, 경도는 126.3497557입니다."
카멜리아힐,식물원,제주특별자치도 서귀포시 안덕면 병악로 166,제주특별자치도 서귀포시 안덕면 상창리 271,33.28963464,126.3700054,"카멜리아힐는 식물원입니다. 주소는 제주특별자치도 서귀포시 안덕면 상창리 271이며, 위도는 33.28963464이고, 경도는 126.3700054입니다."
소병악오름,오름,,제주특별자치도 서귀포시 안덕면 상창리 산 2-1,33.30834791,126.3743069,"소병악오름는 오름입니다. 주소는 제주특별자치도 서귀포시 안덕면 상창리 산 2-1이며, 위도는 33.30834791이고, 경도는 126.3743069입니다."
대병악오름,오름,,제주특별자치도 서귀포시 안덕면 상창리 산 2-1,33.30625711,126.3682552,"대병악오름는 오름입니다. 주소는 제주특별자치도 서귀포시 안덕면 상창리 산 2-1이며, 위도는 33.30625711이고, 경도는 126.3682552입니다."
뽀로로 & 타요테마파크,테마파크,제주특별자치도 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리 80,33.3004187,126.3708258,"뽀로로 & 타요테마파크는 테마파크입니다. 주소는 제주특별자치도 서귀포시 안덕면 상창리 80이며, 위도는 33.3004187이고, 경도는 126.3708258입니다."
헬로키티아일랜드,테마파크,제주특별자치도 서귀포시 안덕면 한창로 340,제주특별자치도 서귀포시 안덕면 상창리 1963-2,33.29014301,126.3520466,"헬로키티아일랜드는 테마파크입니다. 주소는 제주특별자치도 서귀포시 안덕면 상창리 1963-2이며, 위도는 33.29014301이고, 경도는 126.3520466입니다."
포도뮤지엄,미술관,제주특별자치도 서귀포시 안덕면 산록남로 788,제주특별자치도 서귀포시 안덕면 상천리 837,33.31927503,126.3859735,"포도뮤지엄는 미술관입니다. 주소는 제주특별자치도 서귀포시 안덕면 상천리 837이며, 위도는 33.31927503이고, 경도는 126.3859735입니다."
본태박물관,박물관,제주특별자치도 서귀포시 안덕면 산록남로762번길 69,제주특별자치도 서귀포시 안덕면 상천리 380,33.30377225,126.3924802,"본태박물관는 박물관입니다. 주소는 제주특별자치도 서귀포시 안덕면 상천리 380이며, 위도는 33.30377225이고, 경도는 126.3924802입니다."
수풍석 뮤지엄,박물관,제주특별자치도 서귀포시 안덕면 산록남로762번길 79,제주특별자치도 서귀포시 안덕면 상천리 796,33.29992277,126.3898026,"수풍석 뮤지엄는 박물관입니다. 주소는 제주특별자치도 서귀포시 안덕면 상천리 796이며, 위도는 33.29992277이고, 경도는 126.3898026입니다."
영아리,오름,,제주특별자치도 서귀포시 안덕면 상천리 산 19,33.33005226,126.3999625,"영아리는 오름입니다. 주소는 제주특별자치도 서귀포시 안덕면 상천리 산 19이며, 위도는 33.33005226이고, 경도는 126.3999625입니다."
아라고나이트 고온천,온천,제주특별자치도 서귀포시 안덕면 산록남로762번길 71 ,제주특별자치도 서귀포시 안덕면 상천리 380-7,33.30296708,126.3921502,"아라고나이트 고온천는 온천입니다. 주소는 제주특별자치도 서귀포시 안덕면 상천리 380-7이며, 위도는 33.30296708이고, 경도는 126.3921502입니다."
무민랜드제주,전시관,제주특별자치도 서귀포시 안덕면 병악로 420,제주특별자치도 서귀포시 안덕면 상천리 470-6,33.30651247,126.381831,"무민랜드제주는 전시관입니다. 주소는 제주특별자치도 서귀포시 안덕면 상천리 470-6이며, 위도는 33.30651247이고, 경도는 126.381831입니다."
신화역사공원,자연공원,,제주특별자치도 서귀포시 안덕면 서광리 산24-8,33.29894392,126.3173224,"신화역사공원는 자연공원입니다. 주소는 제주특별자치도 서귀포시 안덕면 서광리 산24-8이며, 위도는 33.29894392이고, 경도는 126.3173224입니다."
이상한나라의 앨리스,지역명소,제주특별자치도 서귀포시 안덕면 중산간서로 1881,제주특별자치도 서귀포시 안덕면 서광리 717-3,33.28897754,126.3216056,"이상한나라의 앨리스는 지역명소입니다. 주소는 제주특별자치도 서귀포시 안덕면 서광리 717-3이며, 위도는 33.28897754이고, 경도는 126.3216056입니다."
서광리123카페,카페,제주특별자치도 서귀포시 안덕면 중산간서로 1769 1층 101~102호,제주특별자치도 서귀포시 안덕면 서광리 122,33.28589606,126.3336473,"서광리123카페는 카페입니다. 주소는 제주특별자치도 서귀포시 안덕면 서광리 122이며, 위도는 33.28589606이고, 경도는 126.3336473입니다."
소인국테마파크,테마파크,제주특별자치도 서귀포시 안덕면 중산간서로 1878,제주특별자치도 서귀포시 안덕면 서광리 725,33.29056728,126.3225515,"소인국테마파크는 테마파크입니다. 주소는 제주특별자치도 서귀포시 안덕면 서광리 725이며, 위도는 33.29056728이고, 경도는 126.3225515입니다."
트로이테마농원,관광농원,제주특별자치도 서귀포시 안덕면 녹차분재로 56,제주특별자치도 서귀포시 안덕면 서광리 1412,33.29073601,126.302123,"트로이테마농원는 관광농원입니다. 주소는 제주특별자치도 서귀포시 안덕면 서광리 1412이며, 위도는 33.29073601이고, 경도는 126.302123입니다."
제주신화전설탐방로신나락만나락,관람+체험,제주특별자치도 서귀포시 안덕면 녹차분재로 218,제주특별자치도 서귀포시 안덕면 서광리 산39,33.30472285,126.2994374,"제주신화전설탐방로신나락만나락는 관람+체험입니다. 주소는 제주특별자치도 서귀포시 안덕면 서광리 산39이며, 위도는 33.30472285이고, 경도는 126.2994374입니다."
제주항공우주박물관,박물관,제주특별자치도 서귀포시 안덕면 녹차분재로 218 제주항공우주박물관,제주특별자치도 서귀포시 안덕면 서광리 산39,33.30419233,126.2996913,"제주항공우주박물관는 박물관입니다. 주소는 제주특별자치도 서귀포시 안덕면 서광리 산39이며, 위도는 33.30419233이고, 경도는 126.2996913입니다."
오설록티뮤지엄,박물관,제주특별자치도 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리1235-1,33.30591733,126.2894877,"오설록티뮤지엄는 박물관입니다. 주소는 제주특별자치도 서귀포시 안덕면 서광리1235-1이며, 위도는 33.30591733이고, 경도는 126.2894877입니다."
신화워터파크,워터파크,제주특별자치도 서귀포시 안덕면 신화역사로304번길 98 신화테마파크,제주특별자치도 서귀포시 안덕면 서광리 산24,33.30595681,126.3153914,"신화워터파크는 워터파크입니다. 주소는 제주특별자치도 서귀포시 안덕면 서광리 산24이며, 위도는 33.30595681이고, 경도는 126.3153914입니다."
신화테마파크,테마파크,제주특별자치도 서귀포시 안덕면 신화역사로304번길 98 신화테마파크,제주특별자치도 서귀포시 안덕면 서광리 산35-16,33.30475706,126.31528,"신화테마파크는 테마파크입니다. 주소는 제주특별자치도 서귀포시 안덕면 서광리 산35-16이며, 위도는 33.30475706이고, 경도는 126.31528입니다."
신산오름,오름,,제주특별자치도 서귀포시 안덕면 창천리 328,33.26286001,126.3624799,"신산오름는 오름입니다. 주소는 제주특별자치도 서귀포시 안덕면 창천리 328이며, 위도는 33.26286001이고, 경도는 126.3624799입니다."
화순곶자왈생태탐방숲길,곶자왈,제주특별자치도 서귀포시 안덕면 화순서동로 151,제주특별자치도 서귀포시 안덕면 화순리 2045-5,33.2640498,126.3319324,"화순곶자왈생태탐방숲길는 곶자왈입니다. 주소는 제주특별자치도 서귀포시 안덕면 화순리 2045-5이며, 위도는 33.2640498이고, 경도는 126.3319324입니다."
화순금모래해변,해변,,제주특별자치도 서귀포시 안덕면 화순리 776-8,33.23998555,126.3335908,"화순금모래해변는 해변입니다. 주소는 제주특별자치도 서귀포시 안덕면 화순리 776-8이며, 위도는 33.23998555이고, 경도는 126.3335908입니다."
화순금모래해수욕장 담수풀장,해수욕장풀장,제주특별자치도 서귀포시 안덕면 화순해안로 66-13,제주특별자치도 서귀포시 안덕면 화순리 851-3,33.24102665,126.3314397,"화순금모래해수욕장 담수풀장는 해수욕장풀장입니다. 주소는 제주특별자치도 서귀포시 안덕면 화순리 851-3이며, 위도는 33.24102665이고, 경도는 126.3314397입니다."
갑선이오름,오름,,제주특별자치도 서귀포시 표선면 가시리 산 2,33.36085811,126.7816587,"갑선이오름는 오름입니다. 주소는 제주특별자치도 서귀포시 표선면 가시리 산 2이며, 위도는 33.36085811이고, 경도는 126.7816587입니다."
설오름,오름,,제주특별자치도 서귀포시 표선면 가시리 산1 ,33.3710606,126.7695443,"설오름는 오름입니다. 주소는 제주특별자치도 서귀포시 표선면 가시리 산1 이며, 위도는 33.3710606이고, 경도는 126.7695443입니다."
따라비오름,오름,,제주특별자치도 서귀포시 표선면 가시리 산62,33.38870473,126.7528573,"따라비오름는 오름입니다. 주소는 제주특별자치도 서귀포시 표선면 가시리 산62이며, 위도는 33.38870473이고, 경도는 126.7528573입니다."
대록산(큰사슴이오름),오름,,제주특별자치도 서귀포시 표선면 가시리 산68,33.39913515,126.7295424,"대록산(큰사슴이오름)는 오름입니다. 주소는 제주특별자치도 서귀포시 표선면 가시리 산68이며, 위도는 33.39913515이고, 경도는 126.7295424입니다."
가문이오름,오름,,제주특별자치도 서귀포시 표선면 가시리 산158-2,33.40213522,126.688208,"가문이오름는 오름입니다. 주소는 제주특별자치도 서귀포시 표선면 가시리 산158-2이며, 위도는 33.40213522이고, 경도는 126.688208입니다."
구두리오름,오름,,제주특별자치도 서귀포시 표선면 가시리 산158-2,33.40996192,126.6880403,"구두리오름는 오름입니다. 주소는 제주특별자치도 서귀포시 표선면 가시리 산158-2이며, 위도는 33.40996192이고, 경도는 126.6880403입니다."
마은이옆,오름,,제주특별자치도 서귀포시 표선면 가시리 산158,33.3917482,126.6642873,"마은이옆는 오름입니다. 주소는 제주특별자치도 서귀포시 표선면 가시리 산158이며, 위도는 33.3917482이고, 경도는 126.6642873입니다."
번널오름,오름,,제주특별자치도 서귀포시 표선면 가시리 산10,33.37432227,126.7458996,"번널오름는 오름입니다. 주소는 제주특별자치도 서귀포시 표선면 가시리 산10이며, 위도는 33.37432227이고, 경도는 126.7458996입니다."
병곳오름,오름,,제주특별자치도 서귀포시 표선면 가시리 산8,33.36703884,126.7483747,"병곳오름는 오름입니다. 주소는 제주특별자치도 서귀포시 표선면 가시리 산8이며, 위도는 33.36703884이고, 경도는 126.7483747입니다."
붉은오름,오름,,제주특별자치도 서귀포시 표선면 가시리 산158,33.39986358,126.6795307,"붉은오름는 오름입니다. 주소는 제주특별자치도 서귀포시 표선면 가시리 산158이며, 위도는 33.39986358이고, 경도는 126.6795307입니다."
소록산,오름,,제주특별자치도 서귀포시 표선면 가시리 산 87-1,33.40057859,126.7227834,"소록산는 오름입니다. 주소는 제주특별자치도 서귀포시 표선면 가시리 산 87-1이며, 위도는 33.40057859이고, 경도는 126.7227834입니다."
여문영아리,오름,,제주특별자치도 서귀포시 표선면 가시리 산145,33.38266068,126.6942341,"여문영아리는 오름입니다. 주소는 제주특별자치도 서귀포시 표선면 가시리 산145이며, 위도는 33.38266068이고, 경도는 126.6942341입니다."
쳇망오름,오름,,제주특별자치도 서귀포시 표선면 가시리 산158-2,33.39554247,126.6919412,"쳇망오름는 오름입니다. 주소는 제주특별자치도 서귀포시 표선면 가시리 산158-2이며, 위도는 33.39554247이고, 경도는 126.6919412입니다."
정석항공관,전시관,제주특별자치도 서귀포시 표선면 녹산로 554,제주특별자치도 서귀포시 표선면 가시리 3795-2,33.39414938,126.7224719,"정석항공관는 전시관입니다. 주소는 제주특별자치도 서귀포시 표선면 가시리 3795-2이며, 위도는 33.39414938이고, 경도는 126.7224719입니다."
조랑말체험공원,테마파크,제주특별자치도 서귀포시 표선면 녹산로 381-15,제주특별자치도 서귀포시 표선면 가시리 3149-33,33.38310427,126.7362876,"조랑말체험공원는 테마파크입니다. 주소는 제주특별자치도 서귀포시 표선면 가시리 3149-33이며, 위도는 33.38310427이고, 경도는 126.7362876입니다."
붉은오름자연휴양림,휴양림,제주특별자치도 서귀포시 표선면 남조로 1487-73,제주특별자치도 서귀포시 표선면 가시리산 158,33.40149368,126.6753607,"붉은오름자연휴양림는 휴양림입니다. 주소는 제주특별자치도 서귀포시 표선면 가시리산 158이며, 위도는 33.40149368이고, 경도는 126.6753607입니다."
장자오름,오름,,제주특별자치도 서귀포시 표선면 성읍리 2759-1,33.38891703,126.7756235,"장자오름는 오름입니다. 주소는 제주특별자치도 서귀포시 표선면 성읍리 2759-1이며, 위도는 33.38891703이고, 경도는 126.7756235입니다."
영주산,오름,,제주특별자치도 서귀포시 표선면 성읍리 산15,33.4045686,126.7962391,"영주산는 오름입니다. 주소는 제주특별자치도 서귀포시 표선면 성읍리 산15이며, 위도는 33.4045686이고, 경도는 126.7962391입니다."
성읍무형문화재전수관,전시관,제주특별자치도 서귀포시 표선면 성읍정의현로 19,제주특별자치도 서귀포시 표선면 성읍리 775-1,33.38450521,126.8003108,"성읍무형문화재전수관는 전시관입니다. 주소는 제주특별자치도 서귀포시 표선면 성읍리 775-1이며, 위도는 33.38450521이고, 경도는 126.8003108입니다."
성읍랜드,테마파크,제주특별자치도 서귀포시 표선면 번영로 2650,제주특별자치도 서귀포시 표선면 성읍리 2045-1,33.39858877,126.7869282,"성읍랜드는 테마파크입니다. 주소는 제주특별자치도 서귀포시 표선면 성읍리 2045-1이며, 위도는 33.39858877이고, 경도는 126.7869282입니다."
낙타트래킹,관람+체험,제주특별자치도 서귀포시 표선면 번영로 2564-21,제주특별자치도 서귀포시 표선면 성읍리 2684,33.40269688,126.7786275,"낙타트래킹는 관람+체험입니다. 주소는 제주특별자치도 서귀포시 표선면 성읍리 2684이며, 위도는 33.40269688이고, 경도는 126.7786275입니다."
모지오름,오름,,제주특별자치도 서귀포시 표선면 성읍리산 22,33.39360076,126.7681708,"모지오름는 오름입니다. 주소는 제주특별자치도 서귀포시 표선면 성읍리산 22이며, 위도는 33.39360076이고, 경도는 126.7681708입니다."
좌보미오름,오름,,제주특별자치도 서귀포시 표선면 성읍리 산6,33.43609462,126.8067847,"좌보미오름는 오름입니다. 주소는 제주특별자치도 서귀포시 표선면 성읍리 산6이며, 위도는 33.43609462이고, 경도는 126.8067847입니다."
백약이오름,오름,,제주특별자치도 서귀포시 표선면 성읍리 산1,33.43679951,126.7897733,"백약이오름는 오름입니다. 주소는 제주특별자치도 서귀포시 표선면 성읍리 산1이며, 위도는 33.43679951이고, 경도는 126.7897733입니다."
개오름,오름,제주특별자치도 서귀포시 표선면 성읍이리로57번길 162,제주특별자치도 서귀포시 표선면 성읍리 2974,33.42257873,126.7718543,"개오름는 오름입니다. 주소는 제주특별자치도 서귀포시 표선면 성읍리 2974이며, 위도는 33.42257873이고, 경도는 126.7718543입니다."
목장카페 드르쿰다,테마파크,제주특별자치도 서귀포시 표선면 번영로 2454,제주특별자치도 서귀포시 표선면 성읍리 2873,33.40946197,126.770346,"목장카페 드르쿰다는 테마파크입니다. 주소는 제주특별자치도 서귀포시 표선면 성읍리 2873이며, 위도는 33.40946197이고, 경도는 126.770346입니다."
다이다믹메이즈 제주,테마파크,제주특별자치도 서귀포시 표선면 번영로 2644,제주특별자치도 서귀포시 표선면 성읍리 2381,33.39913816,126.7852768,"다이다믹메이즈 제주는 테마파크입니다. 주소는 제주특별자치도 서귀포시 표선면 성읍리 2381이며, 위도는 33.39913816이고, 경도는 126.7852768입니다."
매오름,오름,,제주특별자치도 서귀포시 표선면 세화리 산 7,33.31763213,126.8136028,"매오름는 오름입니다. 주소는 제주특별자치도 서귀포시 표선면 세화리 산 7이며, 위도는 33.31763213이고, 경도는 126.8136028입니다."
토산봉,오름,,제주특별자치도 서귀포시 표선면 토산리 산 13,33.32200741,126.77427,"토산봉는 오름입니다. 주소는 제주특별자치도 서귀포시 표선면 토산리 산 13이며, 위도는 33.32200741이고, 경도는 126.77427입니다."
가세오름,오름,,제주특별자치도 서귀포시 표선면 토산리 산 5,33.33014595,126.7813272,"가세오름는 오름입니다. 주소는 제주특별자치도 서귀포시 표선면 토산리 산 5이며, 위도는 33.33014595이고, 경도는 126.7813272입니다."
알오름,오름,,제주특별자치도 서귀포시 표선면 토산리 산 11,33.32788094,126.7776999,"알오름는 오름입니다. 주소는 제주특별자치도 서귀포시 표선면 토산리 산 11이며, 위도는 33.32788094이고, 경도는 126.7776999입니다."
제주민속촌,민속촌,제주특별자치도 서귀포시 표선면 민속해안로 631-34,제주특별자치도 서귀포시 표선면 표선리 40-1,33.32237839,126.8423107,"제주민속촌는 민속촌입니다. 주소는 제주특별자치도 서귀포시 표선면 표선리 40-1이며, 위도는 33.32237839이고, 경도는 126.8423107입니다."
제주허브동산,식물원,제주특별자치도 서귀포시 표선면 돈오름로 170,제주특별자치도 서귀포시 표선면 표선리 2608,33.33039253,126.8151813,"제주허브동산는 식물원입니다. 주소는 제주특별자치도 서귀포시 표선면 표선리 2608이며, 위도는 33.33039253이고, 경도는 126.8151813입니다."
표선해수욕장,해변,,제주특별자치도 서귀포시 표선면 표선리,33.32749334,126.8374227,"표선해수욕장는 해변입니다. 주소는 제주특별자치도 서귀포시 표선면 표선리이며, 위도는 33.32749334이고, 경도는 126.8374227입니다."
세계술박물관,박물관,제주특별자치도 서귀포시 표선면 한마음초등로 431,제주특별자치도 서귀포시 표선면 하천리 1814-1,33.35396909,126.8175918,"세계술박물관는 박물관입니다. 주소는 제주특별자치도 서귀포시 표선면 하천리 1814-1이며, 위도는 33.35396909이고, 경도는 126.8175918입니다."
쇠소깍,계곡,제주특별자치도 서귀포시 쇠소깍로 104,제주특별자치도 서귀포시 하효동 990-1,33.25423312,126.6224481,"쇠소깍는 계곡입니다. 주소는 제주특별자치도 서귀포시 하효동 990-1이며, 위도는 33.25423312이고, 경도는 126.6224481입니다."
쇠소깍 해변,해변,,제주특별자치도 서귀포시 하효동 997-3,33.25132924,126.6229864,"쇠소깍 해변는 해변입니다. 주소는 제주특별자치도 서귀포시 하효동 997-3이며, 위도는 33.25132924이고, 경도는 126.6229864입니다."
서귀포 치유의숲,숲,제주특별자치도 서귀포시 산록남로 2271,제주특별자치도 서귀포시 호근동 산 4,33.29192486,126.5278876,"서귀포 치유의숲는 숲입니다. 주소는 제주특별자치도 서귀포시 호근동 산 4이며, 위도는 33.29192486이고, 경도는 126.5278876입니다."
각시바우오름,오름,,제주특별자치도 서귀포시 호근동 2112,33.27674835,126.5261284,"각시바우오름는 오름입니다. 주소는 제주특별자치도 서귀포시 호근동 2112이며, 위도는 33.27674835이고, 경도는 126.5261284입니다."
돔베낭골,자연명소,,제주특별자치도 서귀포시 호근동,33.23950366,126.5330891,"돔베낭골는 자연명소입니다. 주소는 제주특별자치도 서귀포시 호근동이며, 위도는 33.23950366이고, 경도는 126.5330891입니다."
제주김녕미로공원,공원+수목원,제주특별자치도 제주시 구좌읍 만장굴길 122,제주특별자치도 제주시 구좌읍 김녕리 산16,33.53652873,126.7722364,"제주김녕미로공원는 공원+수목원입니다. 주소는 제주특별자치도 제주시 구좌읍 김녕리 산16이며, 위도는 33.53652873이고, 경도는 126.7722364입니다."
