관광지명,관광지유형,소재지도로명주소,소재지지번주소,위도,경도,text
제주농업생태원,체험,제주특별자치도 서귀포시 남원읍 중산간동로 7413,제주특별자치도 서귀포시 남원읍 하례리 1558,33.28862074,126.609863,"제주농업생태원는 체험입니다. 주소는 제주특별자치도 서귀포시 남원읍 하례리 1558이며, 위도는 33.28862074이고, 경도는 126.609863입니다."
효명사,사찰,제주특별자치도 서귀포시 남원읍 516로 815-41,제주특별자치도 서귀포시 남원읍 하례리 산 45,33.32328748,126.5941628,"효명사는 사찰입니다. 주소는 제주특별자치도 서귀포시 남원읍 하례리 산 45이며, 위도는 33.32328748이고, 경도는 126.5941628입니다."
고살리숲길,숲길,,제주특별자치도 서귀포시 남원읍 하례리 산 54-2,33.31714129,126.5985137,"고살리숲길는 숲길입니다. 주소는 제주특별자치도 서귀포시 남원읍 하례리 산 54-2이며, 위도는 33.31714129이고, 경도는 126.5985137입니다."
수악,오름,제주특별자치도 서귀포시 남원읍 516로 1042,제주특별자치도 서귀포시 남원읍 하례리 산 10,33.3246324,126.6093992,"수악는 오름입니다. 주소는 제주특별자치도 서귀포시 남원읍 하례리 산 10이며, 위도는 33.3246324이고, 경도는 126.6093992입니다."
머체왓숲길,숲길,제주특별자치도 서귀포시 남원읍 서성로 755,제주특별자치도 서귀포시 남원읍 한남리 1622-3,33.3305303,126.673919,"머체왓숲길는 숲길입니다. 주소는 제주특별자치도 서귀포시 남원읍 한남리 1622-3이며, 위도는 33.3305303이고, 경도는 126.673919입니다."
사려니오름,오름,,제주특별자치도 서귀포시 남원읍 한남리 산 2-1,33.34008502,126.6458498,"사려니오름는 오름입니다. 주소는 제주특별자치도 서귀포시 남원읍 한남리 산 2-1이며, 위도는 33.34008502이고, 경도는 126.6458498입니다."
가파도,섬,,제주특별자치도 서귀포시 대정읍 가파리 276,33.1700117,126.2714146,"가파도는 섬입니다. 주소는 제주특별자치도 서귀포시 대정읍 가파리 276이며, 위도는 33.1700117이고, 경도는 126.2714146입니다."
노리매,테마파크,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15,제주특별자치도 서귀포시 대정읍 구억리 654-1,33.28309895,126.2873486,"노리매는 테마파크입니다. 주소는 제주특별자치도 서귀포시 대정읍 구억리 654-1이며, 위도는 33.28309895이고, 경도는 126.2873486입니다."
대한민국최남단비,기념물,제주특별자치도 서귀포시 대정읍 마라로 131,제주특별자치도 서귀포시 대정읍 가파리 583-9,33.11377176,126.2685579,"대한민국최남단비는 기념물입니다. 주소는 제주특별자치도 서귀포시 대정읍 가파리 583-9이며, 위도는 33.11377176이고, 경도는 126.2685579입니다."
마라도 등대,등대,제주특별자치도 서귀포시 대정읍 마라로 165,제주특별자치도 서귀포시 대정읍 가파리 639,33.11664905,126.2695118,"마라도 등대는 등대입니다. 주소는 제주특별자치도 서귀포시 대정읍 가파리 639이며, 위도는 33.11664905이고, 경도는 126.2695118입니다."
초콜렛캐슬,박물관,제주특별자치도 서귀포시 대정읍 마라로 113,제주특별자치도 서귀포시 대정읍 가파리 685,33.11392085,126.2672697,"초콜렛캐슬는 박물관입니다. 주소는 제주특별자치도 서귀포시 대정읍 가파리 685이며, 위도는 33.11392085이고, 경도는 126.2672697입니다."
마라도,섬,,제주특별자치도 서귀포시 대정읍 가파리 600,33.11848589,126.2671688,"마라도는 섬입니다. 주소는 제주특별자치도 서귀포시 대정읍 가파리 600이며, 위도는 33.11848589이고, 경도는 126.2671688입니다."
